,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
ICICIBANK.NS,0.00011440276264146737,0.0001091957605345605,4.937716594899942e-05,4.54151065328885e-05,0.00011623148678135797,4.531515293515161e-05,8.999188954205391e-05,9.392264468293495e-05,5.750724367674028e-05,5.581037418591337e-05,2.596211057652715e-05,1.749935206878333e-05,4.77104809139547e-05,2.708215027149999e-05,2.6234893829001296e-05,7.188934158874655e-05,7.736377231449554e-05,3.975852021413206e-05,8.591781261895075e-05,5.817473634074738e-05,7.741813434627267e-05,2.9830586602427888e-05,0.0001670017636989787,9.097701206210803e-05,4.984538756524104e-05,5.31874179600314e-05,4.210231015338662e-05,8.841579278260623e-05,8.477830714965649e-05,8.022171238909982e-05,8.055062872005726e-05,5.885836597353178e-05,2.63691555701948e-05,5.956830312296308e-05,4.414935091291954e-05,4.5891125270516337e-05,6.042427987020394e-05,5.547764522132561e-05,0.00010621777481349677,6.308920949018734e-05,3.422875714014477e-05,4.519819890419724e-05,9.125502134021855e-05,3.7814913499439396e-05,4.964118836537005e-05,5.3379519954933945e-05,7.482862497928395e-05,6.648958330407868e-05,5.310304993011615e-05
INDUSINDBK.NS,0.00017930119399286367,0.00017937681300288257,6.602877747475078e-05,7.161402023886115e-05,0.0001287442825315371,8.001273479513441e-05,0.00013887880877416956,0.00013806248878583689,6.848743694713726e-05,0.0001028715458204681,3.3593084940011366e-05,3.246069195599625e-05,9.595399313974676e-05,6.847068135125321e-05,4.198943848502617e-05,0.00010850309618765521,9.792713036213889e-05,5.667308276643002e-05,0.0001006898225350187,9.209988152874445e-05,0.00012282152272743462,4.889309721407491e-05,9.097701206210803e-05,0.0004533816397767939,6.21626673817115e-05,0.00010395285380722158,5.1992382570664736e-05,0.00012183299412178784,9.283605719612841e-05,0.00011025120225965282,0.0001331436691480726,0.00010188865266995061,3.607062010371963e-05,9.116823618975618e-05,6.883624125994703e-05,6.866008191712423e-05,9.566066260145828e-05,8.830395398342237e-05,0.00014782943063421393,7.257046087787745e-05,4.9534439151759645e-05,7.386625405417855e-05,0.00014580574140086823,5.4776940795676e-05,5.9507010119314544e-05,8.479460973796737e-05,9.578931992976337e-05,0.00011947712560100176,7.854663825826048e-05
INFY.NS,7.363680573357128e-05,7.040387645686795e-05,4.8873507426921226e-05,4.054204904099419e-05,4.686696951812561e-05,3.3183620821566414e-05,8.045542114025178e-05,7.502816339968858e-05,5.5330810008984034e-05,4.5737672968878567e-05,2.7280702019023103e-05,2.716577148559746e-05,3.386014687155339e-05,5.394393037959663e-05,3.905129446523411e-05,4.3555563188593796e-05,5.9624220542982535e-05,0.00016276163825184486,5.2287495637844266e-05,4.182610760829037e-05,8.315888264549881e-05,3.814110840559167e-05,4.984538756524104e-05,6.21626673817115e-05,0.00024043041245183815,4.0455101438818016e-05,3.449308079797009e-05,7.183143839549682e-05,4.247814566387479e-05,7.644786323085608e-05,6.858679181538345e-05,3.520874346710367e-05,2.8129316329277115e-05,2.909757532646039e-05,4.055163747944381e-05,2.5024322770256956e-05,5.801798194549431e-05,5.322867665397946e-05,4.634517780266618e-05,4.9132633284967526e-05,4.056593161640547e-05,6.0385337185282014e-05,6.986909975667034e-05,0.0001491487112924979,0.00017842098216338476,5.8104375083443964e-05,5.289172360560383e-05,6.753357442439004e-05,0.0001587334149456365
IOC.NS,0.0001851975317331183,0.0001718364052479891,4.872752516720484e-05,4.916591117830445e-05,7.313035999856451e-05,6.975463006379927e-05,8.026873742496136e-05,7.653392615171797e-05,4.833787813977716e-05,0.00024203249057424373,2.6381219492767664e-05,2.7094838347626642e-05,0.00014659151619747596,5.449288343638457e-05,4.672789527316791e-05,8.128233448205382e-05,9.364991012785376e-05,3.996196446915728e-05,5.744118816071046e-05,8.677910651336116e-05,0.00011150464581114251,2.242453000573136e-05,5.31874179600314e-05,0.00010395285380722158,4.0455101438818016e-05,0.00029859929998161364,4.63092558328607e-05,0.0001047775997580605,5.556945983096002e-05,0.00010837999750144023,9.394618609296998e-05,6.412648704118406e-05,2.129684977753033e-05,0.00013675119392632525,0.00014665064982705077,0.00011129249865744077,9.034192127454327e-05,6.762693947143534e-05,0.00012520398406407524,6.802917447538346e-05,5.2379419336679504e-05,5.6441802240182675e-05,0.00014025873253298526,4.8912408474579026e-05,5.961555937282767e-05,7.139781421962568e-05,8.176930574128591e-05,0.0001060869526798915,7.1767563492235e-05
ITC.NS,6.017726826072262e-05,7.135323784485914e-05,3.3328710882961746e-05,4.165283172163989e-05,4.734770434078076e-05,3.43638254521835e-05,5.030377539996826e-05,5.6962338461672285e-05,4.107007551531263e-05,5.018144824158519e-05,5.150964897747136e-05,2.569553633882551e-05,5.126665203198729e-05,2.7626702403744214e-05,3.122849625974544e-05,5.045791024363091e-05,5.517972858126654e-05,3.529994012594333e-05,3.597004109679772e-05,4.161304398636445e-05,5.2660053673864595e-05,5.1510558387105156e-05,4.210231015338662e-05,5.1992382570664736e-05,3.449308079797009e-05,4.63092558328607e-05,0.00015922793582054005,6.834722546750483e-05,5.0525179346826115e-05,5.001759981512726e-05,5.171584856250854e-05,4.146217243808947e-05,4.3919814802083515e-05,4.142557892754809e-05,3.52465496956157e-05,3.1875037665853654e-05,5.3867615902099054e-05,3.35881634698432e-05,5.41619509322812e-05,4.1345999028124805e-05,3.208678318731845e-05,5.8016721731980815e-05,6.438431366094705e-05,2.8145636852466158e-05,3.9714926321838096e-05,5.284353940840933e-05,4.4649533038880286e-05,5.2955929684957704e-05,3.699709258396999e-05
JSWSTEEL.NS,0.00017640157990289962,0.0001623615548658403,7.18817323630761e-05,4.742635440927694e-05,9.856282815307857e-05,7.20610134236604e-05,0.00011077523495807708,0.00011082552510808308,7.62925511410449e-05,0.00011062114685514347,3.458908023096885e-05,4.300832535556957e-05,0.00013387671661311694,8.046599402415652e-05,5.722773330262649e-05,9.603078578434058e-05,0.0001353184905355122,7.579589873861433e-05,7.853917154357332e-05,8.414350238093062e-05,0.00023467707098974452,2.8787300169332973e-05,8.841579278260623e-05,0.00012183299412178784,7.183143839549682e-05,0.0001047775997580605,6.834722546750483e-05,0.00031918219310329805,8.113816880128847e-05,0.00011627896345681911,0.00010680426497766621,7.191647031580877e-05,4.011908690123601e-05,0.00011505350871008079,0.00012451507410368378,9.069417212878864e-05,9.37290824950401e-05,8.052064587777606e-05,0.00011542206595070136,8.972301354032567e-05,5.8794435315068036e-05,6.764671158076154e-05,0.00027982296654218276,5.9488969932425294e-05,8.609980311568556e-05,8.952325298228537e-05,0.0001087403710994219,0.00013269393383280402,9.219642353919682e-05
KOTAKBANK.NS,0.00010077744191752505,9.373701497661778e-05,4.91020698233454e-05,4.3465892463883955e-05,9.1225229762811e-05,5.148442681628438e-05,8.907277137801575e-05,0.00010071228309531137,5.96077744748242e-05,5.831926657253379e-05,3.6305730658672975e-05,2.1984949499734647e-05,4.776131603444424e-05,3.3800245706331266e-05,2.415814600575297e-05,7.618022987602931e-05,7.463790895687385e-05,4.6054306125425454e-05,9.26195626180592e-05,6.058248062745526e-05,6.57305382108544e-05,4.275412312264002e-05,8.477830714965649e-05,9.283605719612841e-05,4.247814566387479e-05,5.556945983096002e-05,5.0525179346826115e-05,8.113816880128847e-05,0.0002062309872290468,7.465625741064107e-05,7.968938104398002e-05,6.28805971614458e-05,3.6042935180170294e-05,5.5886428491515205e-05,4.3143115467028324e-05,4.789603855838502e-05,6.658537848697413e-05,6.055978741679153e-05,8.62441329595862e-05,5.682335120500467e-05,3.691029669685082e-05,5.177922580424887e-05,7.494536823868826e-05,3.48323790886955e-05,5.408600482490025e-05,6.179483394602221e-05,6.713160637173988e-05,5.7428121586646235e-05,5.67175167944585e-05
LT.NS,0.00015244853175252866,0.00015497256133407215,6.363341923162047e-05,6.314484282779324e-05,9.267708868871427e-05,6.766290859284619e-05,9.842207912988445e-05,9.867717034846857e-05,6.142072981503594e-05,0.0001125037906885812,3.677300514933309e-05,4.036426864659244e-05,9.506800031676584e-05,5.79907618437926e-05,4.867151232182863e-05,8.879414925669376e-05,9.836894681735933e-05,7.576587907171455e-05,8.160530115448048e-05,8.449413570421015e-05,0.00012019221197380192,3.107198950335463e-05,8.022171238909982e-05,0.00011025120225965282,7.644786323085608e-05,0.00010837999750144023,5.001759981512726e-05,0.00011627896345681911,7.465625741064107e-05,0.00023950752526764996,9.854160589755797e-05,7.75670740302005e-05,3.463960760730425e-05,9.763351832880241e-05,8.109910501832375e-05,8.088224598782543e-05,8.973732928931137e-05,7.965429660845827e-05,0.00010863950259460721,7.662060447231351e-05,5.0862082207681745e-05,6.12047801435743e-05,0.00013357251840279434,6.49733961191419e-05,8.441769999804469e-05,8.375821780340898e-05,9.833796542610197e-05,0.00010804629397248339,8.882577283184804e-05
M&M.NS,0.0001607694341552538,0.0001455176766666165,7.001722209940091e-05,6.16835925412463e-05,8.855949663798393e-05,0.00010669188995556997,0.00011409202643745306,0.00011675841807074475,6.849885430366086e-05,9.909250213704588e-05,4.72709660838806e-05,4.1695900127153837e-05,6.816272598933656e-05,5.66769711288144e-05,5.556204268210413e-05,0.0001298873393165357,9.971439468057735e-05,5.581735350929961e-05,8.181658635750566e-05,0.00012118665312544678,8.867291558442225e-05,5.0795401369726494e-05,8.055062872005726e-05,0.0001331436691480726,6.858679181538345e-05,9.394618609296998e-05,5.171584856250854e-05,0.00010680426497766621,7.968938104398002e-05,9.854160589755797e-05,0.0003116588034998267,0.00011956791918952085,5.173272660519556e-05,7.826332710818798e-05,6.0032687136089466e-05,6.595241789398326e-05,8.563325335813578e-05,7.60782640138002e-05,9.541833022349873e-05,7.426497005724318e-05,5.81237575271907e-05,6.967362801446826e-05,0.00011147666636819679,5.3283026650149316e-05,7.208143526611939e-05,9.583707443800601e-05,0.00010281041767664273,9.403923345421096e-05,7.477783998984002e-05
MARUTI.NS,0.00011764796451540681,0.00010624975637908884,4.552751236899552e-05,6.598536847218907e-05,7.588407456138985e-05,9.579710518030071e-05,8.287163848032407e-05,8.99822850028734e-05,5.762422023454683e-05,6.675069141186107e-05,4.025562437670122e-05,2.2327419931141887e-05,4.6970858705901645e-05,3.770099234226367e-05,3.0333403186044907e-05,0.00012135407250127493,7.367696113326608e-05,3.678748593442488e-05,5.873828054515588e-05,0.00010360239318184047,6.731339236918506e-05,5.017656443106286e-05,5.885836597353178e-05,0.00010188865266995061,3.520874346710367e-05,6.412648704118406e-05,4.146217243808947e-05,7.191647031580877e-05,6.28805971614458e-05,7.75670740302005e-05,0.00011956791918952085,0.00021485927092160622,4.080013068773784e-05,5.7653258239009656e-05,3.373342278215991e-05,4.381433130052632e-05,6.186206699364354e-05,6.312998380250666e-05,7.923207453256757e-05,6.441229485403482e-05,3.3953433128444675e-05,6.049116779117834e-05,7.138724655043319e-05,3.736631311054461e-05,4.291294384326722e-05,7.855645821346818e-05,7.347845578945727e-05,7.232650539830101e-05,4.128360467801845e-05
NESTLEIND.NS,4.216112099560925e-05,4.220584587662726e-05,4.519455875071449e-05,5.87437796838674e-05,3.6763516575668424e-05,4.5365401197863075e-05,5.098605948106794e-05,5.497573961829207e-05,2.7473825533177495e-05,3.29405820852962e-05,7.536342886297098e-05,2.3562973266199905e-05,1.8121110474089273e-05,3.121105713692738e-05,2.917550686346142e-05,4.816639154213409e-05,4.602366998029854e-05,3.231107584723633e-05,2.8538003596552117e-05,4.676374187525375e-05,3.3453994879598103e-05,7.628898794402035e-05,2.63691555701948e-05,3.607062010371963e-05,2.8129316329277115e-05,2.129684977753033e-05,4.3919814802083515e-05,4.011908690123601e-05,3.6042935180170294e-05,3.463960760730425e-05,5.173272660519556e-05,4.080013068773784e-05,0.00014219270305317953,2.322638774976294e-05,1.1839216622857574e-05,3.2250458852705165e-05,4.043578656889928e-05,4.351506542363105e-05,2.5803735791235774e-05,4.336159069788958e-05,2.3481068664652094e-05,7.095787658792478e-05,3.247923117775832e-05,3.457215394468808e-05,2.837847491805745e-05,5.34338521414086e-05,5.0891668681454545e-05,4.171072508283645e-05,3.5211882818595556e-05
NTPC.NS,0.00016872612173515268,0.00016102944978313983,4.808857184248968e-05,2.9848212776860583e-05,7.536444545420338e-05,5.6020688666458755e-05,7.754332066837242e-05,7.39554277151518e-05,5.057233538100379e-05,0.00012446008928153508,1.813833712443431e-05,3.5946163097088804e-05,0.0001567265223247469,3.868129112950431e-05,4.055516708691883e-05,6.272320005815329e-05,8.535946882902764e-05,3.905002666253654e-05,5.226074047156289e-05,5.48362439599491e-05,0.00011691045079406929,1.4978216669935645e-05,5.956830312296308e-05,9.116823618975618e-05,2.909757532646039e-05,0.00013675119392632525,4.142557892754809e-05,0.00011505350871008079,5.5886428491515205e-05,9.763351832880241e-05,7.826332710818798e-05,5.7653258239009656e-05,2.322638774976294e-05,0.0002557204276441454,0.0001495291178114694,0.00015218479111714242,7.977131515832566e-05,6.082986166983346e-05,0.0001140254502544719,6.844763265571765e-05,5.022865148523341e-05,4.961812162959742e-05,0.00014066352005019284,2.525429524421502e-05,4.378986759117363e-05,6.371157573159777e-05,7.214966225030812e-05,8.514680057437021e-05,5.359606752141412e-05
ONGC.NS,0.00013573605277235294,0.00012993131911312705,3.6409172367030435e-05,-3.931110342454555e-06,6.249296397117221e-05,5.0564160084632906e-05,5.1157505114836946e-05,5.1637503783210346e-05,6.108936718613086e-05,0.00012256537403556287,-6.926428482206168e-06,2.108056376386516e-05,0.0001861213981629188,3.6555526708293054e-05,3.38282727211643e-05,4.910275867818733e-05,6.426478373547893e-05,4.798144377695248e-05,3.1387225744559225e-05,4.808347863954003e-05,0.00016733916699628067,-7.222187932269639e-06,4.414935091291954e-05,6.883624125994703e-05,4.055163747944381e-05,0.00014665064982705077,3.52465496956157e-05,0.00012451507410368378,4.3143115467028324e-05,8.109910501832375e-05,6.0032687136089466e-05,3.373342278215991e-05,1.1839216622857574e-05,0.0001495291178114694,0.00037805094458593025,0.0001030026026388188,9.849280071867507e-05,5.406524110642915e-05,9.984402520898781e-05,2.9705690728850897e-05,3.362958752547767e-05,2.5657344127948795e-05,0.0001600142336886596,3.761838276619671e-05,6.114545215406782e-05,4.3610773496102656e-05,4.2535359851594424e-05,9.624599075698502e-05,6.747993713101832e-05
