Date,Optimized Portfolio,Equal Weight Portfolio,NIFTY 50 Benchmark
2024-04-09,-0.005179925026530095,-0.001493828252767836,-0.0010390218270411866
2024-04-10,0.004893365499624089,0.0060208159723954815,0.0049044741142307835
2024-04-12,-0.010271309199258543,-0.010440863475055845,-0.010301592814249916
2024-04-15,-0.008023337619447384,-0.009890792229642342,-0.010963897188301042
2024-04-16,-0.002869013203283888,-0.004805336740004415,-0.005594325260972033
2024-04-18,-0.0036404424399333135,-0.009341867956570627,-0.0068652458503182245
2024-04-19,-0.005447225625931897,0.0046765461121943235,0.0068717686886063944
2024-04-22,0.009972219883790694,0.010934823900014075,0.008551965982977361
2024-04-23,-0.0007227967217617892,0.0015649992436496975,0.0014147135985376202
2024-04-24,0.0007335493888659915,0.003066268750607919,0.0015379287654238016
2024-04-25,0.008421575989514873,0.009113522070519088,0.0074969296067168845
2024-04-26,0.0020311203503372783,-0.00501356261360355,-0.006663626980883297
2024-04-29,-0.001675134575351837,0.004935040496968093,0.00996662256880243
2024-04-30,-0.0018337699287558939,-0.000593685582905965,-0.00170251731563964
2024-05-02,0.008018175395645881,0.003996074323624304,0.0019177127972140884
2024-05-03,-0.007160694527710001,-0.004220006590481456,-0.007609859296553445
2024-05-06,-0.005712882925413868,-0.0035063037424886098,-0.0014749338156797576
2024-05-07,-0.0187466456548005,-0.007060006198927344,-0.006246985595782073
2024-05-08,0.007326755401572862,0.002034885926125089,0.0
2024-05-09,-0.013768071525007185,-0.01743525351444099,-0.01546911781190452
2024-05-10,0.011467209781564973,0.009749289829261827,0.0044494691449390444
2024-05-13,0.005030708873210139,0.005864380121290236,0.0022149680905385605
2024-05-14,0.0014452475159976218,0.005407070721184426,0.005148324587705533
2024-05-15,0.009140838256547709,0.0015113534159862823,-0.0007786004689536163
2024-05-16,0.01047330674303812,0.007682346630602303,0.009157377676264788
2024-05-17,-0.002617544215383472,0.002389902690247024,0.0027785403439750667
2024-05-21,0.010811443153681847,0.007957802006097353,0.002802051667603722
2024-05-22,0.0061007283704842125,0.003265247019158609,0.0030516154749500313
2024-05-23,0.011267257874873503,0.013248491332160875,0.01636661960848307
2024-05-24,0.0016763694158478783,-0.002308964423192229,-0.0004593757337192361
2024-05-27,-0.002609013541846346,-0.001936839974081876,-0.0010737589261899938
2024-05-28,-0.0044399010870521055,-0.0005334762972939014,-0.0019317094176221072
